feature,mean_shap
F3898,1.8907893
F3908,1.2938911
FE_blk1500_std,0.8866354
F3914,0.7996495
F3811,0.74612474
F3913,0.5517324
FE_blk1500_mean,0.50149465
F3107,0.4686239
F3484,0.4222461
F950,0.38471326
F3919,0.36053845
F2640,0.34897685
F3813,0.30716577
FE_blk3900_mean,0.29402956
F1922,0.29227957
F1854,0.2637701
FE_blk3400_mean,0.24425262
F3872,0.23943385
F3812,0.22214285
F1921,0.21349062
F3504,0.18381095
F3634,0.17891766
FE_blk1900_std,0.1689629
F1860,0.16685304
FE_blk3400_std,0.16629481
F3645,0.1624972
F3871,0.14624894
F3805,0.1345272
F1815,0.12839732
F3592,0.11841043
F2486,0.11838677
F3784,0.112977445
F3899,0.10968358
F1166,0.10913456
F2071,0.10709866
F2125,0.10575875
F3748,0.10408111
F3742,0.095646605
F2182,0.09343377
F1743,0.089076884
F1821,0.0875732
FE_blk2000_std,0.080741115
F1107,0.080219224
F3105,0.0787097
F1323,0.07670192
FE_vol_mean,0.076122954
FE_blk3900_std,0.072257236
F3799,0.07130315
F1092,0.07110099
FE_blk1000_std,0.06779655
FE_blk900_std,0.067148186
F3537,0.06502183
F3640,0.064924076
F1968,0.06454483
F3641,0.06172379
F1207,0.061629955
F3534,0.060838453
F949,0.06045202
F1598,0.059003398
FE_blk1800_mean,0.056451786
FE_blk1900_mean,0.056187816
F3691,0.05591921
F1058,0.05590641
F1708,0.05289365
F2079,0.052626148
F3700,0.05185981
F3644,0.045283183
FE_blk1300_std,0.042784415
F1707,0.0417217
F1274,0.04095087
F3633,0.04087791
FE_blk900_mean,0.040620245
F957,0.039636504
F1819,0.037536792
F1923,0.036650084
F3800,0.03497122
FE_blk1200_std,0.034122154
F3801,0.03365659
F3807,0.031531632
F3628,0.030234337
F2076,0.028875638
F1643,0.028800566
F838,0.027441183
F1208,0.027313126
F3532,0.026951985
F1599,0.026664171
F1064,0.024580205
F951,0.024419172
FE_blk2000_mean,0.024341408
F2030,0.024269154
F3631,0.022381756
F2062,0.022014074
F1490,0.021819906
FE_blk1300_mean,0.021818142
FE_blk2100_std,0.020285333
F1605,0.02016972
F3806,0.019978752
F1382,0.019766528
F3750,0.019182974
F3688,0.019006535
F1820,0.01900178
F1927,0.018941678
